2018/02/28 3:46:24 午後 GMT+9	1	男	就職率	特になし	迷っている	Mac	無し	特になし	休みが多い	特になし	頑張れ	迷っている				
2018/02/28 3:46:32 午後 GMT+9	1	女	入学説明会に参加して興味を持ったから	特になし	情報系	Windows	英検;数検	プログラミングをすること;マイコンなどの電子工作;ゲーム制作;Webサイト制作	専門科目が先取りできること;やりたいことが出来ること;休みが多い	これからもリテラシーをやっていきたい。	休みが多いのがメリットです。	迷っている				
2018/02/28 3:46:43 午後 GMT+9	1	男	将来の夢に最も近づけると思ったから	特になし	電気電子系	Windows	なし	電動機や発電機（モータ）;ディープラーニングや人工知能;ロボットやドローン	同じ趣味の人が多いこと;休みが多い	プログラミング応用	難しいけど、わかれば楽しい！	専攻科進学				
2018/02/28 3:46:48 午後 GMT+9	1	男	電気関係の仕事に興味があったから	家から遠い	電気電子系	Windows	英検	電動機や発電機（モータ）;ディープラーニングや人工知能;発電効率・発電方法;プラズマ・核融合	同じ趣味の人が多いこと;専門科目が先取りできること;休みが多い;部活が楽しい	資格の取得	勉強できれば楽しい	就職			家電・電子機器などの開発;電気工事	
2018/02/28 3:46:56 午後 GMT+9	1	男	一番向いていると思ったから。	特になし	迷っている	Windows	数検	プログラミングをすること	休みが多い	修学旅行	楽しいよ	迷っている				
2018/02/28 3:46:57 午後 GMT+9	1	男	プログラムをしたかったから	特になし	情報系	Mac	なし	プログラミングをすること;ディープラーニングや人工知能;ロボットやドローン;ゲーム制作;アプリ開発	同じ趣味の人が多いこと;学校が楽しい;やりたいことが出来ること	ゲーム大会	高専は全てが自己責任なのでだらけても誰も注意しません！自立の心を持とう	迷っている				
2018/02/28 3:46:58 午後 GMT+9	1	男	情報について専門的な事を学びたかったから。	特になし	情報系	Windows	英検	プログラミングをすること;電動機や発電機（モータ）;ディープラーニングや人工知能;ロボットやドローン;マイコンなどの電子工作;ゲーム制作;アプリ開発;データサイエンス;3DCG制作;WebやDTPなどのデザイン	同じ趣味の人が多いこと;専門科目が先取りできること;学校が楽しい;授業が面白い;やりたいことが出来ること;休みが多い;部活が楽しい	ロボットや新しい技術の開発	自主的に勉強をすることと、周りに流されないようにすることを大切にするといいと思います。	専攻科進学				
2018/02/28 3:46:59 午後 GMT+9	1	男	"""電気""に興味があったから"	特になし	電気電子系	Windows	P検3級	プログラミングをすること;電動機や発電機（モータ）;マイコンなどの電子工作;ゲーム制作;アプリ開発;画像処理;映像制作;音楽制作;3DCG制作;プラズマ・核融合	同じ趣味の人が多いこと;専門科目が先取りできること;学校が楽しい;やりたいことが出来ること;休みが多い	コイルガン作りたい	高専は、いいぞ	就職			システムエンジニア	
2018/02/28 3:47:04 午後 GMT+9	1	男	なんとなく	特になし	電気電子系	Windows	持ってない	プログラミングをすること;マイコンなどの電子工作;ゲーム制作;Webサイト制作;アプリ開発;画像処理;映像制作;発電効率・発電方法;プラズマ・核融合	学校が楽しい;授業が面白い;やりたいことが出来ること;休みが多い;部活が楽しい	電気の取り扱い方	ファイトだよ！	就職			電気工事	中部電力
2018/02/28 3:47:13 午後 GMT+9	1	男	情報の技術に興味があったから	特になし	迷っている	Windows	なし	プログラミングをすること;ディープラーニングや人工知能;ゲーム制作;アプリ開発;音楽制作	同じ趣味の人が多いこと;専門科目が先取りできること;学校が楽しい;授業が面白い;やりたいことが出来ること;休みが多い;部活が楽しい	電気的な音楽制作	入ってみると楽しいことばかりなので是非！	就職			システムエンジニア;Webデザイナー;ソフトウェア開発;ゲームクリエイター	
